PROJECT,COVERAGE
flext-api/,%
flext-auth/,%
flext-cli/,%
flext-core/,%
flext-db-oracle/,%
flext-dbt-ldap/,%
flext-dbt-ldif/,%
flext-dbt-oracle/,%
flext-dbt-oracle-wms/,%
flext-grpc/,%
flext-ldap/,%
flext-ldif/,%
flext-meltano/,%
flext-observability/,%
flext-oracle-oic-ext/,%
flext-oracle-wms/,%
flext-plugin/,%
flext-quality/,%
flext-tap-ldap/,%
flext-tap-ldif/,%
flext-tap-oracle/,%
flext-tap-oracle-oic/,%
flext-tap-oracle-wms/,%
flext-target-ldap/,%
flext-target-ldif/,%
flext-target-oracle/,%
flext-target-oracle-oic/,%
flext-target-oracle-wms/,%
flext-web/,%
